"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 22 05:17:24 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","1464","","Product Search","","","","Verify all products page is visible",""
"passed","Sun Feb 22 05:17:22 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","3108","","Shopping Cart","","","","Add multiple products to cart",""
"passed","Sun Feb 22 05:17:16 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","8915","","Shopping Cart","","","","Remove item from cart",""
"passed","Sun Feb 22 05:17:24 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","1826","","User Login","","","","Invalid login with incorrect password",""
"passed","Sun Feb 22 05:17:24 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","1634","","User Login","","","","Invalid login with various wrong credentials",""
"passed","Sun Feb 22 05:17:23 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","2086","","Product Search","","","","Search for a product with partial name",""
"passed","Sun Feb 22 05:17:22 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","3337","","User Registration","","","","Register a new user account successfully",""
"passed","Sun Feb 22 05:17:24 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","1874","","User Login","","","","Invalid login with incorrect email",""
"passed","Sun Feb 22 05:17:23 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","2232","","Product Search","","","","Search for a valid product",""
"passed","Sun Feb 22 05:17:22 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","3679","","Shopping Cart","","","","Add a product to cart",""
"passed","Sun Feb 22 05:17:23 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","2713","","Shopping Cart","","","","Verify cart item details",""
"passed","Sun Feb 22 05:17:23 UTC 2026","Sun Feb 22 05:17:25 UTC 2026","2767","","User Login","","","","Valid login with correct credentials",""
